City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mount isa,-20.7333,139.5,20.87,100,75,2.06,AU,1676832194
84,aguadilla,18.4275,-67.1541,27.62,66,100,8.05,PR,1676832195
85,manokwari,-0.8667,134.0833,24.81,85,100,3.68,ID,1676832195
86,baghdad,33.3406,44.4009,9.95,50,0,2.57,IQ,1676832196
87,talnakh,69.4865,88.3972,-17.32,96,96,2.93,RU,1676832196
88,youkounkoun,12.5333,-13.1333,34.14,15,71,1.66,GN,1676832197
89,tiksi,71.6872,128.8694,-31.76,98,51,3.79,RU,1676832197
90,provideniya,64.3833,-173.3,-21.46,99,100,6.48,RU,1676832198
91,castro,-24.7911,-50.0119,17.63,81,100,2.65,BR,1676832198
92,cockburn town,21.4612,-71.1419,26.98,54,40,7.72,TC,1676832199
93,butaritari,3.0707,172.7902,26.75,77,97,3.0,KI,1676832200
94,apatou,5.155,-54.3472,25.32,83,100,2.06,GF,1676832201
95,iqaluit,63.7506,-68.5145,-34.15,62,40,0.0,CA,1676832201
96,gushikawa,26.3544,127.8686,17.57,67,75,5.14,JP,1676832202
97,avarua,-21.2078,-159.775,27.03,89,20,3.6,CK,1676832203
98,zemio,5.0314,25.1361,25.8,25,100,1.75,CF,1676832204
99,san quintin,30.4833,-115.95,16.09,54,99,4.61,MX,1676832204
100,dikson,73.5069,80.5464,-5.84,96,100,4.74,RU,1676832205
101,sayyan,15.1718,44.3244,10.75,33,0,1.91,YE,1676832205
102,trinidad,-14.8333,-64.9,23.99,57,75,3.09,BO,1676832205
103,mehamn,71.0357,27.8492,-1.03,100,100,2.06,NO,1676832206
104,boende,-0.2167,20.8667,27.2,32,100,0.98,CD,1676832207
105,knysna,-34.0363,23.0471,19.68,82,0,2.1,ZA,1676832207
106,shieli,44.1667,66.75,2.17,65,100,3.62,KZ,1676832208
107,yarmouth,41.7057,-70.2286,8.31,72,0,4.12,US,1676832208
108,guerrero negro,27.9769,-114.0611,17.51,57,100,3.34,MX,1676832209
109,moose factory,51.2585,-80.6094,-1.0,80,100,6.17,CA,1676832210
110,amapa,1.0,-52.0,25.13,95,99,1.44,BR,1676832210
111,longyearbyen,78.2186,15.6401,-12.09,67,75,4.12,SJ,1676832100
112,monforte de lemos,42.5216,-7.5142,11.45,80,11,0.25,ES,1676832211
113,puerto escondido,15.85,-97.0667,31.36,41,18,4.64,MX,1676832211
114,lucapa,-8.4192,20.7447,19.38,92,100,1.14,AO,1676832212
115,kibaya,-5.3,36.5667,17.84,77,100,2.88,TZ,1676832212
116,ballina,-28.8667,153.5667,20.56,97,100,2.83,AU,1676832213
117,constitucion,-35.3333,-72.4167,20.75,52,10,5.22,CL,1676832056
118,ewa beach,21.3156,-158.0072,25.01,84,0,2.06,US,1676832213
119,port-gentil,-0.7193,8.7815,28.98,84,20,3.09,GA,1676832214
120,batticaloa,7.7102,81.6924,25.19,85,28,3.64,LK,1676832214
121,mbandaka,0.0487,18.2603,27.82,34,100,1.37,CD,1676832215
122,giyani,-23.3025,30.7187,23.22,91,94,0.82,ZA,1676832215
123,ambilobe,-13.2,49.05,23.93,92,88,1.36,MG,1676832216
124,ancud,-41.8697,-73.8203,15.6,58,20,2.91,CL,1676832039
125,port lincoln,-34.7333,135.8667,19.42,83,0,5.73,AU,1676832216
126,eirunepe,-6.6603,-69.8736,22.81,97,100,1.3,BR,1676832217
127,codrington,-38.2667,141.9667,12.55,91,0,1.18,AU,1676832217
128,roquetas de mar,36.7642,-2.6148,17.56,44,27,6.7,ES,1676832218
129,bonanza,14.0289,-84.591,28.64,53,33,2.81,NI,1676832218
130,ilo,-17.6394,-71.3375,25.94,72,12,4.6,PE,1676832219
131,severo-kurilsk,50.6789,156.125,-8.95,81,82,7.86,RU,1676831938
132,antalaha,-14.9003,50.2788,23.6,85,4,3.09,MG,1676832219
133,nikolskoye,59.7035,30.7861,-5.05,93,100,3.12,RU,1676832219
134,mujiayingzi,42.1167,118.7833,-10.81,45,0,6.54,CN,1676832220
135,sulangan,11.1373,123.7228,26.32,81,100,1.69,PH,1676832221
136,baykit,61.67,96.37,-19.27,100,100,0.65,RU,1676832221
137,saint george,37.1041,-113.5841,11.91,34,0,1.54,US,1676832014
138,venice,27.0998,-82.4543,28.88,74,20,3.09,US,1676832222
139,camacha,33.0833,-16.3333,15.68,82,75,5.14,PT,1676832222
140,lagoa,39.05,-27.9833,13.62,74,14,1.58,PT,1676832222
141,nhulunbuy,-12.2333,136.7667,26.34,89,75,1.54,AU,1676832223
142,port elizabeth,-33.918,25.5701,23.94,88,0,1.54,ZA,1676832224
143,maniitsoq,65.4167,-52.9,-11.56,88,100,4.28,GL,1676832224
144,ponta do sol,32.6667,-17.1,18.89,60,25,1.16,PT,1676832225
145,bochum,51.4833,7.2167,8.57,85,100,1.79,DE,1676832123
146,smoky lake,54.1169,-112.4686,-9.91,92,100,2.57,CA,1676832018
147,laerdalsoyri,61.098,7.4816,0.18,86,100,3.6,NO,1676832226
148,coquimbo,-29.9533,-71.3436,22.85,64,0,6.69,CL,1676832197
149,whitehorse,60.7161,-135.0538,-5.5,86,75,3.09,CA,1676832227
150,shingu,33.7333,135.9833,6.43,78,22,2.61,JP,1676832227
151,san jeronimo,-11.9472,-75.2829,13.28,71,100,1.71,PE,1676832228
152,beloha,-25.1667,45.05,25.77,78,1,1.73,MG,1676832228
153,lavrentiya,65.5833,-171.0,-26.38,96,99,1.97,RU,1676832229
154,kurud,20.8322,81.7214,22.99,34,0,2.58,IN,1676832229
155,san patricio,28.017,-97.5169,25.09,51,32,4.44,US,1676832230
